DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Psicologia Da Educação: Aprendizagem,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Psicologia do Desenvolvimento: Infância Juventude Vida Adulta e Envelhecimento,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Psicologia Experimental,2-4-4,Psicologia Cognitiva; Base Experimental das Ciências Naturais,BN - Bacharelado em Neurociência (OBR)
Psicometria,3-1-4,Introdução à Probabilidade e à Estatística; Psicologia Cognitiva,BN - Bacharelado em Neurociência (OL)
Psicopatologia,2-0-2,Introdução à Neurociência; Morfofisiologia Humana I,BN - Bacharelado em Neurociência (OL)
Qualidade da Energia Elétrica,4-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Qualidade de Imagens Médicas,2-2-4,Princípios de Imagens Médicas; Métodos Matemáticos aplicados a Sistemas Biomédicos,EBIO - Engenharia Biomédica (OL)
Qualidade em Serviços,2-0-3,Qualidade em Sistemas,EGES - Engenharia de Gestão (OL)
Qualidade em Sistemas,4-0-5,Organização do Trabalho,EGES - Engenharia de Gestão (OBR)
Questões Ambientais Globais,2-0-4,Álgebra Linear; Análise de Sistemas e Modelagem Ambiental; Avaliação de Impactos Ambientais; Biomas Brasileiros; Cálculo Numérico; Caracterização de Matrizes Ambientais; Cartografia e Geoprocessamento; Circuitos Elétricos e Fotônica; Climatologia; Engenharia Econômica; Engenharia Unificada I; Engenharia Unificada II; Fenômenos de Transporte; Fundamentos de Desenho Técnico; Fundamentos de Geologia para Engenharia; Geotecnia; Habitação e Assentamentos Humanos; Hidráulica de Condutos Forçados; Hidráulica de Condutos Livres; Hidrologia; Introdução às Engenharias; Materiais e Suas Propriedades; Mecânica dos Sólidos I; Métodos Experimentais em Engenharia; Microbiologia Ambiental; Planejamento Urbano e Metropolitano; Poluição Atmosférica; Princípios de Administração; Projeto Ambiental Urbano; Recuperação de Áreas Degradadas; Regulação Ambiental e Urbanística; Representação Gráfica de Projetos Ambientais e Urbanos; Resíduos Sólidos; Saúde Ambiental; Sistemas de Abastecimento de Águas; Sistemas de Drenagem Urbana; Sistemas de Esgotamento Sanitário; Sistemas de Tratamento de Água; Teoria do Planejamento Urbano e Ambiental; Transferência de Massa; Transportes e Mobilidade Urbana; Tratamento de Águas Urbanas Servidas,EAU - Engenharia Ambiental e Urbana (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Questões Atuais no Ensino de Ciências,2-0-2,Não há,LQ - Licenciatura em Química (OL);LCB - Licenciatura em Ciências Biológicas (OL);LFIS - Licenciatura em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Questões de Ética,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL)
Questões de Filosofia Política,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Questões Metodológicas em Economia,4-0-3,Bases Epistemológicas da Ciência Moderna; Introdução ao Pensamento Econômico; Econometria I; Macroeconomia I; Microeconomia I,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Química Ambiental,2-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Química Analítica Clássica I,3-3-6,Não há,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Química Analítica Clássica II,3-3-6,Química Analítica Clássica I,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Química Analítica e Bioanalítica Avançada,4-2-8,Química Analítica Clássica I; Química Analítica Clássica II; Análise Química Instrumental; Eletroanalítica e Técnicas de Separação,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Química de Alimentos,2-2-2,Não há,BQ - Bacharelado em Química (OL)
Química de Coordenação,4-4-8,Ligações Químicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Química do Petróleo,4-0-4,Transformações Químicas; Funções e Reações Orgânicas,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Química dos Elementos,4-4-6,Transformações Químicas; Funções e Reações Orgânicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Química dos Materiais,4-2-4,Não há,BQ - Bacharelado em Química (OL);LQ - Licenciatura em Química (OL)
Química Inorgânica Avançada,4-0-4,Ligações Químicas,BQ - Bacharelado em Química (OL);LQ - Licenciatura em Química (OL)
Química Inorgânica de Materiais,4-2-6,Transformações Químicas,EMAT - Engenharia de Materiais (OBR)
Química Inorgânica Experimental,0-4-4,Química dos Elementos; Química de Coordenação,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Química Orgânica Aplicada,0-4-6,Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas; Química Orgânica Experimental,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Química Orgânica Experimental,0-4-6,Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Reações Nucleares,3-0-5,Engenharia Nuclear,EENE - Engenharia de Energia (OL)
Reciclagem e Ambiente,3-1-4,Materiais e suas Propriedades,EMAT - Engenharia de Materiais (OL);EAU - Engenharia Ambiental e Urbana (OL)
Recuperação de Áreas Degradadas,2-1-3,Fundamentos de Geologia para Engenharia,EAU - Engenharia Ambiental e Urbana (OBR)
Recursos Didáticos para o Ensino de Química,4-0-4,Não há,LQ - Licenciatura em Química (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Recursos Hídricos,3-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Redes Convergentes,4-0-4,Redes de Computadores,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OL)
Redes de Barramento de Campo,2-1-4,Eletrônica Digital,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Redes de Computadores,3-1-4,Processamento da Informação,EINF - Engenharia de Informação (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Redes de Distribuição de Energia Elétrica,4-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Redes sem Fio,3-1-4,Redes de computadores,BCC - Bacharelado em Ciências da Computação (OL);EINF - Engenharia de Informação (OL)
Redes WAN de Banda Larga,3-1-4,Redes de Computadores,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OL)
Refino do Petróleo,4-0-4,Engenharia de Petróleo e Gás,BQ - Bacharelado em Química (OL);EENE - Engenharia de Energia (OL)
Refrigeração e Condicionamento de Ar,4-0-4,Termodinâmica Aplicada II,EENE - Engenharia de Energia (OL)
Refugiados: Direito e Política,4-0-4,Não há,BRI - Bacharelado em Relações Internacionais (OL)
Região e Regionalização,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Regime Internacional dos Direitos Humanos e a Atuação Brasileira,4-0-4,Direito Internacional Público,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR);LFIL - Licenciatura em Filosofia (OL)
Regimes de Negociação Ambiental Internacional e a Atuação Brasileira,4-0-4,Desenvolvimento e Sustentabilidade,BRI - Bacharelado em Relações Internacionais (OL)
Regimes de Negociação Comercial Internacional e a Atuação Brasileira,4-0-4,Sistema ONU e os desafios do multilateralismo,BRI - Bacharelado em Relações Internacionais (OL)
Regimes de Negociação Financeira Internacional e a Atuação Brasileira,4-0-4,Sistema Financeiro Internacional: de Bretton Woods ao non-sistema,BRI - Bacharelado em Relações Internacionais (OL)
Regimes e Formas de Governo,2-2-4,Estado e Relações de Poder,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL)
Regulação Ambiental e Urbanística,2-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Regulação e Agências Reguladoras no Contexto Brasileiro,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Regulação e Mercado de Energia Elétrica,2-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Relação Família-Escola na Inclusão Escolar,2-0-2,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Relações Internacionais e Globalização,4-0-4,Formação do Sistema Internacional,BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Reologia,3-1-4,Fenômenos de Transporte; Mecânica dos Sólidos I,EENE - Engenharia de Energia (OL);EMAT - Engenharia de Materiais (OBR)
Representação Gráfica de Projetos Ambientais e Urbanos,0-4-4,Fundamentos de Desenho Técnico,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Reprodução Assistida em Mamíferos,2-2-2,Biologia celular,BCB - Bacharelado em Ciências Biológicas (OL)
Resíduos Nucleares,3-0-3,Engenharia Nuclear,EENE - Engenharia de Energia (OL)
Resíduos Sólidos,2-1-4,Geotecnia; Microbiologia Ambiental,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OBR)
Reúso de Água,2-1-4,Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água,EAU - Engenharia Ambiental e Urbana (OL)
Riscos No Ambiente Urbano,3-1-3,Não há,EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Robôs Móveis Autônomos,3-1-4,Fundamentos de Robótica,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Robótica e Sistemas Inteligentes,2-2-4,Programação Orientada a Objetos; Inteligência Artificial,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Robótica Educacional,2-2-4,Programação Orientada a Objetos; Inteligência Artificial,BCC - Bacharelado em Ciências da Computação (OL)
Robótica Pedagógica com Projetos Interdisciplinares,2-2-4,Bases Computacionais da Ciência,LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Saneamento Ambiental,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Saúde Ambiental,2-0-3,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Saúde Determinantes Socioambientais e Equidade,3-0-3,Saúde Ambiental,EAU - Engenharia Ambiental e Urbana (OL)
Segurança de Dados,3-1-4,Redes de Computadores; Algoritmos e Estruturas de Dados I,BCC - Bacharelado em Ciências da Computação (OBR)
Segurança de Instalações Nucleares,3-0-4,Engenharia Nuclear,EENE - Engenharia de Energia (OL)
Segurança de Redes,3-1-4,Redes de Computadores,BC&T - Bacharelado em Ciência e Tecnologia (OL);EINF - Engenharia de Informação (OL)
Segurança dos Territórios,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Segurança e Regulamentação em Biotecnologia,2-0-4,Biologia Molecular e Biotecnologia; Bioquímica: estrutura propriedades e funções de biomoléculas; Farmacologia,BBT - Bacharelado em Biotecnologia (OBR)
Segurança em Laboratórios de Química,0-2-4,Transformações Químicas,LQ - Licenciatura em Química (OL)
Segurança em Redes,2-2-4,Redes de Computadores,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OL)
Segurança Internacional em perspectiva histórica e desafios contemporâneos,4-0-4,Abordagens tradicionais das Relações Internacionais; Pensamento crítico das Relações Internacionais,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Seleção de Materiais,4-0-4,Materiais Poliméricos; Materiais Cerâmicos; Materiais Metálicos,EMAT - Engenharia de Materiais (OBR)
Semântica de Linguagem de Programação,4-0-4,Programação Orientada a Objetos; Lógica Básica; Linguagens Formais e Automata,BM - Bacharelado em Matemática (OL);BCC - Bacharelado em Ciências da Computação (OL)
Seminários de Leitura,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OBR)
Seminários de Modalidades Diversas em Educação Matemática,0-2-2,Não há,LM - Licenciatura em Matemática (OL)
Seminários de Pesquisa em Educação Matemática I,0-2-6,Não há,LM - Licenciatura em Matemática (OL)
Seminários de Pesquisa em Educação Matemática II,0-2-6,Não há,LM - Licenciatura em Matemática (OL)
Seminários em Biologia I,1-0-2,Não há,BCB - Bacharelado em Ciências Biológicas (OL)
Seminários em Biologia II,1-0-2,Não há,BCB - Bacharelado em Ciências Biológicas (OL)
Seminários em Materiais Avançados,2-0-2,Materiais e suas Propriedades; Ciência dos Materiais,EMAT - Engenharia de Materiais (OL)
Seminários em Química I,2-0-2,Não há,LQ - Licenciatura em Química (OL);BQ - Bacharelado em Química (OL)
Seminários em Química II,2-0-2,Não há,LQ - Licenciatura em Química (OL)
Sensação e Percepção,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Psicologia Cognitiva,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Sensores Biomédicos,2-0-2,Circuitos elétricos I,EBIO - Engenharia Biomédica (OBR)
Sensores e Transdutores,3-1-4,Dispositivos Eletrônicos,EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Sensoriamento Remoto,1-3-2,Não há,EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Sequências e Séries,4-0-4,Introdução às Equações Diferenciais Ordinárias,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Servo-Sistema para Robôs e Acionamento para Sistemas Mecatrônicos,3-1-4,Máquinas Elétricas,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Siderurgia e Engenharia dos Aços,4-0-4,Materiais Metálicos,EMAT - Engenharia de Materiais (OL)
Simetrias no Plano Euclidiano,4-0-4,Geometria Plana Axiomática; Fundamentos de Álgebra,LM - Licenciatura em Matemática (OL)
Simulação de Modelos de Gestão,2-2-4,Pesquisa Operacional,EGES - Engenharia de Gestão (OL)
Simulação de Sistemas de Comunicação,2-2-4,Processamento Digital de Sinais; Comunicação Digital,EINF - Engenharia de Informação (OL)
Sinais Aleatórios,4-0-4,Introdução à Probabilidade e à Estatística; Transformadas em Sinais e Sistemas Lineares,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Síntese de Polímeros,3-1-4,Funções e Reações Orgânicas,EMAT - Engenharia de Materiais (OL)
Sistema Financeiro Internacional: de Bretton Woods ao non-sistema,4-0-4,Introdução à Economia,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Sistema ONU e os desafios do multilateralismo,4-0-4,Segurança Internacional em perspectiva histórica e desafios contemporâneos,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Sistemas CAD/CAE,1-3-5,Não há,EGES - Engenharia de Gestão (OBR)
Sistemas CAD/CAM,3-1-4,Fundamentos de Desenho Técnico,EAER - Engenharia Aeroespacial (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Sistemas CAM,2-2-4,Sistemas CAD/CAE,EGES - Engenharia de Gestão (OBR)
Sistemas de Abastecimento de Águas,2-1-4,Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados,EAU - Engenharia Ambiental e Urbana (OBR)
Sistemas de Controle I,3-2-4,Transformadas em Sinais e Sistemas Lineares,EAER - Engenharia Aeroespacial (OBR);EINF - Engenharia de Informação (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Sistemas de Controle II,3-2-4,Sistemas de Controle I,EAER - Engenharia Aeroespacial (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OL)
Sistemas de Drenagem Urbana,2-1-4,Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Hidrologia,EAU - Engenharia Ambiental e Urbana (OBR)
Sistemas de Esgotamento Sanitário,2-1-4,Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados,EAU - Engenharia Ambiental e Urbana (OBR)
Sistemas de Gerenciamento de Banco de Dados,2-2-4,Banco de Dados,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Sistemas de Informação,4-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Sistemas de Informação Corporativos,2-2-5,Gestão de Operações,EGES - Engenharia de Gestão (OBR)
Sistemas de Micro-Ondas,3-1-4,Ondas Eletromagnéticas Aplicadas; Eletrônica Analógica Aplicada,EINF - Engenharia de Informação (OL)
Sistemas de Potência I,4-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Sistemas de Potência II,2-2-4,Sistemas de Potência I,EENE - Engenharia de Energia (OL)
Sistemas de Propulsão I,3-1-5,Dinâmica de Gases,EAER - Engenharia Aeroespacial (OBR)
Sistemas de Propulsão II,3-1-5,Dinâmica de Gases; Sistemas de Propulsão I,EAER - Engenharia Aeroespacial (OL)
Sistemas de Tratamento de Água,2-1-4,Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Caracterização de Matrizes Ambientais,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OBR);BCB - Bacharelado em Ciências Biológicas (OL)
Sistemas Digitais,2-2-4,Circuitos Digitais,BCC - Bacharelado em Ciências da Computação (OBR)
Sistemas Distribuídos,3-1-4,Redes de Computadores,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Sistemas e Processos de Produção,2-2-4,Introdução aos Processos de Fabricação Metal - Mecânico,EGES - Engenharia de Gestão (OBR)
Sistemas Embarcados para Engenharia Biomédica,0-4-4,Instrumentação Biomédica I; Computação Científica aplicada a Problemas Biológicos,EBIO - Engenharia Biomédica (OL)
Sistemas Fotovoltaicos Conectados à Rede Elétrica,4-0-4,Engenharia Solar Fotovoltaica; Instalações Elétricas I,EENE - Engenharia de Energia (OL)
Sistemas Fotovoltaicos Isolados,4-0-4,Engenharia Solar Fotovoltaica; Instalações Elétricas I,EENE - Engenharia de Energia (OL)
Sistemas Inteligentes,3-1-4,Programação Estruturada; Álgebra Linear,EINF - Engenharia de Informação (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Sistemas Microprocessados,2-2-4,Eletrônica Digital; Dispositivos Eletrônicos,EBIO - Engenharia Biomédica (OL);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Sistemas Multiagentes,3-1-4,Processamento da Informação; Programação Orientada a Objetos,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Sistemas Multimídia,2-2-4,Computação Gráfica,BCC - Bacharelado em Ciências da Computação (OL)
Sistemas Multi-Robôs Sociais,2-2-4,Inteligência Artificial; Sistemas Multiagentes,BCC - Bacharelado em Ciências da Computação (OL)
Sistemas Operacionais,3-1-4,Arquitetura de Computadores,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Sistemas Térmicos,0-4-4,Termodinâmica Aplicada I; Termodinâmica Aplicada II,EENE - Engenharia de Energia (OBR)
Sistemas Termosolares,2-0-2,Engenharia Solar Térmica,EENE - Engenharia de Energia (OL)
Sistemática e Biogeografia,2-2-4,Evolução e Diversificação da Vida na Terra,BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Socialização e Sociabilidade na Sociedade Contemporânea,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Sociedade Civil Organizada Global,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Sociologia da Educação,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Sociologia dos Territórios,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Subestação e Equipamentos,2-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Supervisão e Monitoramento de Processos Energéticos,1-3-4,Automação de Sistemas Industriais,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Surgimento da China como Potência Mundial,4-0-4,Relações Internacionais e Globalização,BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Sustentabilidade e Indicadores,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Técnicas Aplicadas a Processos Biotecnológicos,4-2-4,Não há,BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OL)
Técnicas Avançadas de Programação,2-2-4,Algoritmos e Estruturas de Dados I,BCC - Bacharelado em Ciências da Computação (OL)
Técnicas de Análise Estrutural e Projeto,3-1-4,Mecânica dos Sólidos I,EGES - Engenharia de Gestão (OL);EAER - Engenharia Aeroespacial (OBR)
Técnicas de Pesquisa em Economia,2-3-0,Não há,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Dependência,2-2-4,Estatística Aplicada a Sistemas de Gestão,EGES - Engenharia de Gestão (OL)
Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Interdependência,2-2-4,Técnicas de Tomadas de Decisão aplicáveis em Modelos de Dependência,EGES - Engenharia de Gestão (OL)
Técnicas Modernas em Fotodiagnóstico,3-1-4,Física Médica I; Introdução à Biofotônica e Óptica Biomédica; Laboratório de Física Médica,EBIO - Engenharia Biomédica (OL)
Técnicas Modernas em Fototerapia,3-1-4,Física Médica I; Introdução à Biofotônica e Óptica Biomédica; Laboratório de Física Médica,EBIO - Engenharia Biomédica (OL)
Tecnologia da Combustão,4-0-4,Termodinâmica Aplicada I; Termodinâmica Aplicada II,EENE - Engenharia de Energia (OL)
Tecnologia de Alimentos,2-2-2,Química Analítica Clássica I; Química Analítica Clássica II,BQ - Bacharelado em Química (OL)
Tecnologia de Biomateriais,3-1-4,Não há,BQ - Bacharelado em Química (OL)
Tecnologia de Elastômeros,4-0-4,Materiais Poliméricos; Funções e Reações Orgânicas,EMAT - Engenharia de Materiais (OL)
Tecnologia de Fermentações,2-2-4,Bioquímica: estrutura propriedades e funções de biomoléculas,BBT - Bacharelado em Biotecnologia (OBR)
Tecnologia de Redes Ópticas,4-0-4,Comunicações Ópticas,EINF - Engenharia de Informação (OL)
Tecnologia do Vácuo e Criogenia,2-2-4,Princípios de Termodinâmica; Mecânica Quântica I; Estado Sólido,BFIS - Bacharelado em Física (OL)
Tecnologias Alternativas de Tratamento de Água e Efluentes,2-1-3,Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OL)
Tecnologias da Informação e Comunicação na Educação,3-0-3,Não há,LQ - Licenciatura em Química (OL);LCB - Licenciatura em Ciências Biológicas (OL);LFIS - Licenciatura em Física (OL);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BCC - Bacharelado em Ciências da Computação (OL)
Tecnologias Sociais,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Telefonia Fixa e VoIP,3-1-4,Redes de Computadores; Princípios de Comunicação,EINF - Engenharia de Informação (OL)
Telemedicina e Sistemas de Apoio a Decisão,2-2-5,Bioestatística; Gestão de Tecnologia Hospitalar I,EBIO - Engenharia Biomédica (OL)
Temas Contemporâneos,2-2-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR)
Temas de Filosofia Antiga ,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Temas de Filosofia Contemporânea I,4-0-4,História da filosofia Moderna: perspectivas racionalistas,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Temas de Filosofia Contemporânea II,4-0-4 ,História da filosofia Moderna: perspectivas racionalistas; História da filosofia Moderna: o iluminismo e seus desdobramentos,BFIL - Bacharelado em Filosofia (OL)
Temas de Filosofia Medieval I,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Temas de Filosofia Medieval II,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL)
Temas de Filosofia Moderna I,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Temas de Filosofia Moderna II,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL)
Temas de Lógica,4-0-4,Bases Epistemológicas da Ciência Moderna; Pensamento Crítico; Lógica Básica,LFIL - Licenciatura em Filosofia (OL)
Temas e Problemas em Filosofia,3-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Tempos Métodos e Arranjos Físicos,2-2-5,Organização do Trabalho,EGES - Engenharia de Gestão (OBR)
Tendências em Educação Matemática,2-2-4,Não há,LM - Licenciatura em Matemática (OL)
Teoria Aritmética dos Números,4-0-4,Não há,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Teoria Aritmética dos Números II,4-0-4,Teoria Aritmética dos Números,BM - Bacharelado em Matemática (OL)
