DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Bioética,2-0-2,Não há,BN - Bacharelado em Neurociência (OBR);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BBT - Bacharelado em Biotecnologia (OBR)
Biofísica,4-0-4,bioquímica: estrutura propriedades e funções de biomoléculas; Biologia Molecular e Biotecnologia,BFIS - Bacharelado em Física (OL);EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Biofísica de Membranas,6-0-6,Introdução à Neurociência; Morfofisiologia Humana I,BN - Bacharelado em Neurociência (OBR)
Bioimpedância Aplicada,2-0-2,Fenômenos Eletromagnéticos; Circuitos Elétricos I; Métodos Matemáticos Aplicados a Sistemas Biomédicos,EBIO - Engenharia Biomédica (OL)
Biologia Celular,4-2-4,Evolução e Diversificação da Vida na Terra,EBIO - Engenharia Biomédica (OBR);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);BBT - Bacharelado em Biotecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Biologia do Desenvolvimento em Vertebrados,2-2-4,Biologia Celular,BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OL);LCB - Licenciatura em Ciências Biológicas (OL)
Biologia Molecular e Biotecnologia,3-0-3,Biologia Celular; Histologia e Embriologia,BQ - Bacharelado em Química (OL);BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OBR)
Biologia Reprodutiva de Plantas,2-2-2,Evolução e Diversidade de Plantas I; Evolução e Diversidade de Plantas II; Fisiologia Vegetal I; Fisiologia Vegetal II,BCB - Bacharelado em Ciências Biológicas (OL)
Biologia Sintética,2-0-4,Biologia Molecular e Biotecnologia; Bioquímica: estrutura propriedades e funções de biomoléculas,BBT - Bacharelado em Biotecnologia (OBR)
Biomas Brasileiros,2-1-3,Biodiversidade: Interações entre Organismos e Ambiente,EAU - Engenharia Ambiental e Urbana (OBR);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCH - Licenciatura em Ciências e Humanidades (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Biomateriais,3-1-4,Ciência dos Materiais,EMAT - Engenharia de Materiais (OL)
Biomecânica I,2-2-4,Mecânica dos Sólidos I; Computação Científica aplicada a Problemas Biológicos,EBIO - Engenharia Biomédica (OBR)
Biomecânica II,2-2-4,Biomecânica I,EBIO - Engenharia Biomédica (OBR)
Bioquímica Clínica,4-2-4,Bioquímica Funcional,BCB - Bacharelado em Ciências Biológicas (OL)
Bioquímica Experimental,2-4-6,bioquímica: estrutura propriedades e funções de biomoléculas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Bioquímica Funcional,4-2-4,Transformações Químicas; bioquímica: estrutura propriedades e funções de biomoléculas; Biologia Celular,BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BBT - Bacharelado em Biotecnologia (OBR)
BIOQUÍMICA: ESTRUTURA PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS,3-2-6,Estrutura da Matéria; Transformações Químicas,BC&T - Bacharelado em Ciência e Tecnologia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Biossegurança,4-0-3,Biologia Celular,EBIO - Engenharia Biomédica (OBR)
Biotecnologia Ambiental e Agroindustrial,2-2-4,Biologia Molecular e Biotecnologia; Bioquímica: estrutura propriedades e funções de biomoléculas,BBT - Bacharelado em Biotecnologia (OL)
Biotecnologia Animal,2-2-4,Biologia Molecular e Biotecnologia; Biologia celular,BBT - Bacharelado em Biotecnologia (OBR)
Biotecnologia de Plantas,0-4-2,Genética II; Fisiologia Vegetal I; Fisiologia Vegetal II,BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OBR)
Biotecnologia Humana,2-2-4,Biologia Molecular e Biotecnologia; Biologia celular; Fundamentos de Imunologia,BBT - Bacharelado em Biotecnologia (OBR)
Blendas Poliméricas,3-1-4,Materiais Poliméricos,EMAT - Engenharia de Materiais (OL)
Bombas Hidráulicas,0-4-4,Mecânica dos Fluidos II,EENE - Engenharia de Energia (OL)
Botânica Econômica,2-2-2,Biodiversidade: Interações entre organismos e ambiente; Evolução e Diversidade de Plantas I,BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OL)
Brasil Independente,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Bromatologia e Análise de Alimentos,2-2-4,bioquímica: estrutura propriedades e funções de biomoléculas,BBT - Bacharelado em Biotecnologia (OL)
Cálculo de Probabilidade,4-0-4,Funções de Várias Variáveis; Introdução à Probabilidade e à Estatística,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Cálculo Numérico,4-0-4,Funções de Uma Variável,BFIS - Bacharelado em Física (OBR);EGES - Engenharia de Gestão (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);BM - Bacharelado em Matemática (OBR);EMAT - Engenharia de Materiais (OBR);EAER - Engenharia Aeroespacial (OBR);LM - Licenciatura em Matemática (OBR);EINF - Engenharia de Informação (OBR);EAU - Engenharia Ambiental e Urbana (OBR);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Cálculo Vetorial e Tensorial,4-0-4,Funções de Várias Variáveis,BFIS - Bacharelado em Física (OBR);EGES - Engenharia de Gestão (OL);EBIO - Engenharia Biomédica (OL);EENE - Engenharia de Energia (OBR);BM - Bacharelado em Matemática (OBR);EMAT - Engenharia de Materiais (OBR);EAER - Engenharia Aeroespacial (OBR);EINF - Engenharia de Informação (OL);EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Capitalismo Contemporâneo,4-0-4,Introdução ao Pensamento Econômico; História Econômica Geral; Economia Política,BCE - Bacharelado em Ciências Econômicas (OL)
Caracterização Biológica de Dispositivos Médicos,2-2-4,Biossegurança; Ciência dos Materiais Biocompatíveis,EBIO - Engenharia Biomédica (OL)
Caracterização de Biomateriais,2-3-4,Ciência dos Materiais Biocompatíveis,EBIO - Engenharia Biomédica (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Caracterização de Materiais,3-1-4,Propriedades Mecânicas e Térmicas; Propriedades Elétricas Magnéticas e Ópticas,EMAT - Engenharia de Materiais (OBR)
Caracterização de Matrizes Ambientais,1-2-4,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Cartografia e Geoprocessamento,1-3-3,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Cartografia e Geoprocessamento para o Planejamento Territorial,2-3-3,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Cartografia Escolar E Inclusiva,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Centrais Termoelétricas,2-0-3,Termodinâmica Aplicada I; Termodinâmica Aplicada II; Sistemas Térmicos,EENE - Engenharia de Energia (OL)
Cerâmicas Especiais e Refratárias,4-0-4,Materiais Cerâmicos,EMAT - Engenharia de Materiais (OL)
Ceticismo ,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Cidadania Direitos e Desigualdades,4-0-4,Não há,LFIS - Licenciatura em Física (OL);LM - Licenciatura em Matemática (OL);BPP - Bacharelado em Políticas Públicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);BPT - Bacharelado em Planejamento Territorial (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Ciência dos Materiais,4-0-4,Materiais e suas Propriedades,EBIO - Engenharia Biomédica (OL);EMAT - Engenharia de Materiais (OBR);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Ciência dos Materiais Biocompatíveis,3-1-4,Materiais e suas Propriedades,EBIO - Engenharia Biomédica (OBR)
Ciência e Culturas Antigas,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Ciência Saúde Educação e a Formação da Nacionalidade,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Ciência Tecnologia e Sociedade,3-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Ciências Atmosféricas,4-0-4,Não há,BFIS - Bacharelado em Física (OL);EAU - Engenharia Ambiental e Urbana (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Cinemática e Dinâmica de Mecanismos,4-0-4,Dinâmica I,EAER - Engenharia Aeroespacial (OL)
Circuitos Digitais,3-1-4,Não há,EBIO - Engenharia Biomédica (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Circuitos Elétricos e Fotônica,3-1-5,Fenômenos Eletromagnéticos,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OL);EENE - Engenharia de Energia (OL);EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL);EINF - Engenharia de Informação (OL);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Circuitos Elétricos I,3-2-4,Fenômenos Eletromagnéticos,EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);EAER - Engenharia Aeroespacial (OL);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Circuitos Elétricos II,3-2-4,Circuitos Elétricos I,EENE - Engenharia de Energia (OBR);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
